Index       TIME             V(BASE)           V(COLL)           V(OUT)          I(V_SUPPLY)   
0        0.00000000e+00    2.07484329e+00    4.00000000e+00   -1.46760263e-70   -2.58928765e-02
1        3.33333333e-12    2.08883980e+00    3.99905813e+00   -8.83004827e-04   -2.59214730e-02
2        6.66666667e-12    2.09726354e+00    3.99652057e+00   -3.20678170e-03   -2.60357693e-02
3        1.00000000e-11    2.09692715e+00    3.99419637e+00   -5.24911264e-03   -2.61905543e-02
4        1.33333333e-11    2.08807252e+00    3.99741798e+00   -1.79277039e-03   -2.63320860e-02
5        1.66666667e-11    2.07407143e+00    4.00425711e+00    4.94140461e-03   -2.63069679e-02
6        2.00000000e-11    2.06021662e+00    4.00931142e+00    9.51386611e-03   -2.60835967e-02
7        2.33333333e-11    2.05176321e+00    4.01000871e+00    9.57487135e-03   -2.57632851e-02
8        2.66666667e-11    2.05195417e+00    4.00628647e+00    5.35496686e-03   -2.54916605e-02
9        3.00000000e-11    2.06072905e+00    4.00034640e+00   -7.38970276e-04   -2.53793577e-02
10       3.33333333e-11    2.07474710e+00    3.99442327e+00   -6.42335763e-03   -2.54637262e-02
11       3.66666667e-11    2.08865137e+00    3.99074795e+00   -9.56570981e-03   -2.57080918e-02
12       4.00000000e-11    2.09713171e+00    3.99053461e+00   -9.15502151e-03   -2.60183530e-02
13       4.33333333e-11    2.09694893e+00    3.99391684e+00   -5.29125542e-03   -2.62775321e-02
14       4.66666667e-11    2.08817494e+00    3.99961409e+00    5.63588933e-04   -2.63871048e-02
15       5.00000000e-11    2.07416315e+00    4.00545804e+00    6.18266669e-03   -2.63053716e-02
16       5.33333333e-11    2.06026806e+00    4.00921022e+00    9.41492474e-03   -2.60636795e-02
17       5.66666667e-11    2.05180005e+00    4.00943586e+00    9.02587480e-03   -2.57546050e-02
18       6.00000000e-11    2.05199496e+00    4.00607793e+00    5.19394237e-03   -2.54960029e-02
19       6.33333333e-11    2.06077930e+00    4.00040530e+00   -6.30785637e-04   -2.53861922e-02
