Index       TIME            V(BASE_P)          V(EMIT)          V(COLL_P)         V(OUT_P)         I(V_SUPPLY)        I(I_TAIL)    
0        0.00000000e+00    1.85940841e+00    1.05081660e+00    4.00000000e+00   -6.26486611e-70   -1.11269142e-02    1.00000000e-02
1        3.33333333e-12    1.87236046e+00    1.05205212e+00    3.97867285e+00   -2.06391820e-02   -1.11392661e-02    1.00000000e-02
2        6.66666667e-12    1.88048731e+00    1.05469009e+00    3.96495951e+00   -3.32443678e-02   -1.11594279e-02    1.00000000e-02
3        1.00000000e-11    1.88075377e+00    1.05583068e+00    3.96755841e+00   -2.95981017e-02   -1.11574777e-02    1.00000000e-02
4        1.33333333e-11    1.87382550e+00    1.05366251e+00    4.00593159e+00    9.11644586e-03   -1.10839923e-02    1.00000000e-02
5        1.66666667e-11    1.86210950e+00    1.05095652e+00    4.05452552e+00    5.66148533e-02   -1.09844822e-02    1.00000000e-02
6        2.00000000e-11    1.84981162e+00    1.05099844e+00    4.07771906e+00    7.75719470e-02   -1.10087504e-02    1.00000000e-02
7        2.33333333e-11    1.84138462e+00    1.05338812e+00    4.06364000e+00    6.11803455e-02   -1.11636583e-02    1.00000000e-02
8        2.66666667e-11    1.84003828e+00    1.05491309e+00    4.02020912e+00    1.64555376e-02   -1.12599012e-02    1.00000000e-02
9        3.00000000e-11    1.84645387e+00    1.05308936e+00    3.97296597e+00   -3.05526572e-02   -1.11621816e-02    1.00000000e-02
10       3.33333333e-11    1.85825764e+00    1.05064871e+00    3.93988756e+00   -6.20870735e-02   -1.09866946e-02    1.00000000e-02
11       3.66666667e-11    1.87086063e+00    1.05124325e+00    3.92626924e+00   -7.34464999e-02   -1.09767207e-02    1.00000000e-02
12       4.00000000e-11    1.87953429e+00    1.05429132e+00    3.94017991e+00   -5.73557925e-02   -1.11594097e-02    1.00000000e-02
13       4.33333333e-11    1.88099060e+00    1.05587202e+00    3.98198100e+00   -1.43594508e-02   -1.12870347e-02    1.00000000e-02
14       4.66666667e-11    1.87441407e+00    1.05377044e+00    4.02963562e+00    3.29847455e-02   -1.11738452e-02    1.00000000e-02
15       5.00000000e-11    1.86227242e+00    1.05075017e+00    4.05997475e+00    6.17450440e-02   -1.09596917e-02    1.00000000e-02
16       5.33333333e-11    1.84951000e+00    1.05062174e+00    4.06814973e+00    6.77615821e-02   -1.09335269e-02    1.00000000e-02
17       5.66666667e-11    1.84106689e+00    1.05307969e+00    4.05438201e+00    5.19978764e-02   -1.11344798e-02    1.00000000e-02
18       6.00000000e-11    1.83996316e+00    1.05443631e+00    4.02024773e+00    1.67183184e-02   -1.12922264e-02    1.00000000e-02
19       6.33333333e-11    1.84654839e+00    1.05268333e+00    3.97814422e+00   -2.52431061e-02   -1.11981112e-02    1.00000000e-02
20       6.66666667e-11    1.85831712e+00    1.05033280e+00    3.94281938e+00   -5.91612108e-02   -1.09889072e-02    1.00000000e-02
21       7.00000000e-11    1.87081288e+00    1.05097677e+00    3.92505831e+00   -7.46914007e-02   -1.09572817e-02    1.00000000e-02
22       7.33333333e-11    1.87945406e+00    1.05407569e+00    3.93785296e+00   -5.96576012e-02   -1.11474979e-02    1.00000000e-02
23       7.66666667e-11    1.88095965e+00    1.05569551e+00    3.98139653e+00   -1.48718699e-02   -1.12932421e-02    1.00000000e-02
24       8.00000000e-11    1.87443465e+00    1.05360488e+00    4.03056589e+00    3.39790371e-02   -1.11854465e-02    1.00000000e-02
25       8.33333333e-11    1.86229647e+00    1.05049267e+00    4.06078225e+00    6.25859761e-02   -1.09619336e-02    1.00000000e-02
26       8.66666667e-11    1.84951093e+00    1.05028364e+00    4.06795395e+00    6.75881111e-02   -1.09254688e-02    1.00000000e-02
27       9.00000000e-11    1.84106168e+00    1.05266643e+00    4.05382870e+00    5.14784112e-02   -1.11269245e-02    1.00000000e-02
28       9.33333333e-11    1.83997495e+00    1.05400297e+00    4.02009064e+00    1.66056246e-02   -1.12925969e-02    1.00000000e-02
29       9.66666667e-11    1.84657956e+00    1.05228166e+00    3.97833350e+00   -2.50114248e-02   -1.12042747e-02    1.00000000e-02
30       1.00000000e-10    1.85835620e+00    1.05001882e+00    3.94286420e+00   -5.90792111e-02   -1.09947833e-02    1.00000000e-02
31       1.03333333e-10    1.87085836e+00    1.05075412e+00    3.92488685e+00   -7.48248304e-02   -1.09598382e-02    1.00000000e-02
32       1.06666667e-10    1.87951440e+00    1.05392971e+00    3.93781705e+00   -5.96533270e-02   -1.11477200e-02    1.00000000e-02
33       1.10000000e-10    1.88103690e+00    1.05558212e+00    3.98162620e+00   -1.46065085e-02   -1.12930948e-02    1.00000000e-02
34       1.13333333e-10    1.87451605e+00    1.05345442e+00    4.03074266e+00    3.41836638e-02   -1.11850677e-02    1.00000000e-02
35       1.16666667e-10    1.86237034e+00    1.05025259e+00    4.06059029e+00    6.24212118e-02   -1.09599677e-02    1.00000000e-02
36       1.20000000e-10    1.84958271e+00    1.04994212e+00    4.06757119e+00    6.72410792e-02   -1.09220616e-02    1.00000000e-02
37       1.23333333e-10    1.84114715e+00    1.05224246e+00    4.05371295e+00    5.14053922e-02   -1.11242659e-02    1.00000000e-02
38       1.26666667e-10    1.84007943e+00    1.05354678e+00    4.02032573e+00    1.68800850e-02   -1.12926018e-02    1.00000000e-02
39       1.30000000e-10    1.84669384e+00    1.05187088e+00    3.97849269e+00   -2.48206203e-02   -1.12071400e-02    1.00000000e-02
40       1.33333333e-10    1.85847318e+00    1.04970914e+00    3.94263568e+00   -5.92760192e-02   -1.09993939e-02    1.00000000e-02
41       1.36666667e-10    1.87098643e+00    1.05055945e+00    3.92455367e+00   -7.51181209e-02   -1.09642755e-02    1.00000000e-02
42       1.40000000e-10    1.87966708e+00    1.05383226e+00    3.93786870e+00   -5.95584842e-02   -1.11503297e-02    1.00000000e-02
43       1.43333333e-10    1.88121168e+00    1.05552477e+00    3.98204437e+00   -1.41542633e-02   -1.12934470e-02    1.00000000e-02
44       1.46666667e-10    1.87469281e+00    1.05334907e+00    4.03098761e+00    3.44507038e-02   -1.11832925e-02    1.00000000e-02
45       1.50000000e-10    1.86253449e+00    1.05003536e+00    4.06028981e+00    6.21430070e-02   -1.09562767e-02    1.00000000e-02
46       1.53333333e-10    1.84974362e+00    1.04960108e+00    4.06703611e+00    6.67412314e-02   -1.09177719e-02    1.00000000e-02
47       1.56666667e-10    1.84132597e+00    1.05180089e+00    4.05355794e+00    5.12957834e-02   -1.11216251e-02    1.00000000e-02
48       1.60000000e-10    1.84028252e+00    1.05306591e+00    4.02063655e+00    1.72322559e-02   -1.12929180e-02    1.00000000e-02
49       1.63333333e-10    1.84690886e+00    1.05144519e+00    3.97870714e+00   -2.45747807e-02   -1.12103160e-02    1.00000000e-02
50       1.66666667e-10    1.85869098e+00    1.04940703e+00    3.94235879e+00   -5.95215200e-02   -1.10045030e-02    1.00000000e-02
51       1.70000000e-10    1.87121759e+00    1.05039832e+00    3.92414747e+00   -7.54827770e-02   -1.09694559e-02    1.00000000e-02
52       1.73333333e-10    1.87992848e+00    1.05379125e+00    3.93794370e+00   -5.94378651e-02   -1.11535887e-02    1.00000000e-02
53       1.76666667e-10    1.88149996e+00    1.05553309e+00    3.98257264e+00   -1.35917628e-02   -1.12939757e-02    1.00000000e-02
54       1.80000000e-10    1.87498283e+00    1.05329812e+00    4.03129298e+00    3.47755131e-02   -1.11810231e-02    1.00000000e-02
55       1.83333333e-10    1.86280804e+00    1.04984635e+00    4.05991021e+00    6.17834281e-02   -1.09514885e-02    1.00000000e-02
56       1.86666667e-10    1.85001235e+00    1.04926004e+00    4.06635660e+00    6.60984541e-02   -1.09122462e-02    1.00000000e-02
57       1.90000000e-10    1.84161631e+00    1.05133707e+00    4.05334426e+00    5.11322720e-02   -1.11182448e-02    1.00000000e-02
58       1.93333333e-10    1.84060281e+00    1.05255424e+00    4.02100464e+00    1.76463393e-02   -1.12932754e-02    1.00000000e-02
59       1.96666667e-10    1.84724421e+00    1.05100092e+00    3.97897366e+00   -2.42741789e-02   -1.12141696e-02    1.00000000e-02
60       2.00000000e-10    1.85903013e+00    1.04911393e+00    3.94203722e+00   -5.98092272e-02   -1.10106213e-02    1.00000000e-02
61       2.03333333e-10    1.87157326e+00    1.05027838e+00    3.92367538e+00   -7.59090921e-02   -1.09755896e-02    1.00000000e-02
62       2.06666667e-10    1.88032100e+00    1.05381946e+00    3.93805934e+00   -5.92721186e-02   -1.11574181e-02    1.00000000e-02
63       2.10000000e-10    1.88192482e+00    1.05562189e+00    3.98323329e+00   -1.28953711e-02   -1.12945662e-02    1.00000000e-02
64       2.13333333e-10    1.87540887e+00    1.05331391e+00    4.03166524e+00    3.51654123e-02   -1.11782080e-02    1.00000000e-02
65       2.16666667e-10    1.86321282e+00    1.04969196e+00    4.05942832e+00    6.13203924e-02   -1.09454885e-02    1.00000000e-02
66       2.20000000e-10    1.85041026e+00    1.04891915e+00    4.06549532e+00    6.52774227e-02   -1.09052320e-02    1.00000000e-02
67       2.23333333e-10    1.84204023e+00    1.05084646e+00    4.05305083e+00    5.08966979e-02   -1.11138789e-02    1.00000000e-02
68       2.26666667e-10    1.84106365e+00    1.05200567e+00    4.02143540e+00    1.81308150e-02   -1.12936225e-02    1.00000000e-02
69       2.30000000e-10    1.84772420e+00    1.05053471e+00    3.97930253e+00   -2.39058075e-02   -1.12188744e-02    1.00000000e-02
70       2.33333333e-10    1.85951552e+00    1.04883261e+00    3.94166947e+00   -6.01381377e-02   -1.10180195e-02    1.00000000e-02
71       2.36666667e-10    1.87207931e+00    1.05020994e+00    3.92313712e+00   -7.63949293e-02   -1.09828898e-02    1.00000000e-02
72       2.40000000e-10    1.88087201e+00    1.05393392e+00    3.93823789e+00   -5.90369695e-02   -1.11619181e-02    1.00000000e-02
73       2.43333333e-10    1.88251459e+00    1.05581081e+00    3.98406157e+00   -1.20288527e-02   -1.12952305e-02    1.00000000e-02
74       2.46666667e-10    1.87599882e+00    1.05341292e+00    4.03211702e+00    3.56331886e-02   -1.11747523e-02    1.00000000e-02
75       2.50000000e-10    1.86377528e+00    1.04958129e+00    4.05881297e+00    6.07231964e-02   -1.09380154e-02    1.00000000e-02
76       2.53333333e-10    1.85096302e+00    1.04857982e+00    4.06439921e+00    6.42269331e-02   -1.08963566e-02    1.00000000e-02
77       2.56666667e-10    1.84262426e+00    1.05032513e+00    4.05264547e+00    5.05600797e-02   -1.11082552e-02    1.00000000e-02
78       2.60000000e-10    1.84169326e+00    1.05141450e+00    4.02193275e+00    1.86931440e-02   -1.12939530e-02    1.00000000e-02
79       2.63333333e-10    1.84837835e+00    1.05004427e+00    3.97970826e+00   -2.34520348e-02   -1.12246548e-02    1.00000000e-02
80       2.66666667e-10    1.86017750e+00    1.04856814e+00    3.94125869e+00   -6.05023669e-02   -1.10269907e-02    1.00000000e-02
81       2.70000000e-10    1.87276730e+00    1.05020736e+00    3.92253893e+00   -7.69315639e-02   -1.09915757e-02    1.00000000e-02
82       2.73333333e-10    1.88161488e+00    1.05415729e+00    3.93851184e+00   -5.86981543e-02   -1.11672078e-02    1.00000000e-02
83       2.76666667e-10    1.88330374e+00    1.05612564e+00    3.98510282e+00   -1.09464341e-02   -1.12960115e-02    1.00000000e-02
84       2.80000000e-10    1.87678640e+00    1.05361714e+00    4.03266253e+00    3.61925086e-02   -1.11705620e-02    1.00000000e-02
85       2.83333333e-10    1.86452726e+00    1.04952729e+00    4.05802294e+00    5.99505366e-02   -1.09287407e-02    1.00000000e-02
86       2.86666667e-10    1.85170138e+00    1.04824570e+00    4.06299833e+00    6.28787714e-02   -1.08851304e-02    1.00000000e-02
87       2.90000000e-10    1.84340003e+00    1.04977051e+00    4.05208230e+00    5.00800915e-02   -1.11010110e-02    1.00000000e-02
88       2.93333333e-10    1.84252536e+00    1.05077636e+00    4.02249612e+00    1.93369674e-02   -1.12942573e-02    1.00000000e-02
89       2.96666667e-10    1.84924215e+00    1.04952941e+00    3.98020866e+00   -2.28912575e-02   -1.12317990e-02    1.00000000e-02
90       3.00000000e-10    1.86105279e+00    1.04832921e+00    3.94081586e+00   -6.08877450e-02   -1.10378886e-02    1.00000000e-02
91       3.03333333e-10    1.87367564e+00    1.05029078e+00    3.92189948e+00   -7.74976963e-02   -1.10018898e-02    1.00000000e-02
92       3.06666667e-10    1.88259015e+00    1.05451992e+00    3.93892974e+00   -5.82057175e-02   -1.11734187e-02    1.00000000e-02
93       3.10000000e-10    1.88433386e+00    1.05660038e+00    3.98641486e+00   -9.59065222e-03   -1.12969754e-02    1.00000000e-02
94       3.13333333e-10    1.87781205e+00    1.05395594e+00    4.03331627e+00    3.68563314e-02   -1.11655444e-02    1.00000000e-02
95       3.16666667e-10    1.86550671e+00    1.04954838e+00    4.05700338e+00    5.89467212e-02   -1.09172661e-02    1.00000000e-02
96       3.20000000e-10    1.85266169e+00    1.04792397e+00    4.06120126e+00    6.11431029e-02   -1.08709246e-02    1.00000000e-02
97       3.23333333e-10    1.84440483e+00    1.04918282e+00    4.05129668e+00    4.93962020e-02   -1.10916607e-02    1.00000000e-02
98       3.26666667e-10    1.84359979e+00    1.05008981e+00    4.02311704e+00    2.00589747e-02   -1.12945089e-02    1.00000000e-02
99       3.30000000e-10    1.85035780e+00    1.04899375e+00    3.98082513e+00   -2.21972962e-02   -1.12406686e-02    1.00000000e-02
