Index       TIME             V(BASE)           V(COLL)           V(OUT)            I(VDD)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        3.33333333e-12    7.99066880e-02    5.07742781e+00    4.76008857e+00   -1.66069758e-01
2        3.54166667e-12    8.47520755e-02    5.42659822e+00    5.08805873e+00   -1.75596710e-01
3        3.71751665e-12    8.88468074e-02    5.73152386e+00    5.37408373e+00   -1.83102005e-01
4        3.89336663e-12    9.29273124e-02    6.04044110e+00    5.66359122e+00   -1.90335688e-01
5        4.24506659e-12    1.01067178e-01    6.67118367e+00    6.25242516e+00   -2.03150667e-01
6        4.94846652e-12    1.16749857e-01    7.91486799e+00    7.40007779e+00   -2.22188384e-01
7        5.65186644e-12    1.30888377e-01    9.05026354e+00    8.42416562e+00   -2.32859188e-01
8        6.23821696e-12    1.40981662e-01    9.85460832e+00    9.12560722e+00   -2.36067814e-01
9        6.73638211e-12    1.48143900e-01    1.04142120e+01    9.59196649e+00   -2.35396797e-01
10       7.18473075e-12    1.53422486e-01    1.08150704e+01    9.90540865e+00   -2.32640006e-01
11       7.63307939e-12    1.57595012e-01    1.11200893e+01    1.01206411e+01   -2.28301040e-01
12       8.08142803e-12    1.60695760e-01    1.13346577e+01    1.02439053e+01   -2.22797507e-01
13       8.52977667e-12    1.62783997e-01    1.14671567e+01    1.02843660e+01   -2.16516141e-01
14       8.97812532e-12    1.63936042e-01    1.15277836e+01    1.02529144e+01   -2.09802024e-01
15       9.42647396e-12    1.64240587e-01    1.15278999e+01    1.01615029e+01   -2.02951905e-01
16       9.87482260e-12    1.63791700e-01    1.14791688e+01    1.00222780e+01   -1.96210919e-01
17       1.03231712e-11    1.62686227e-01    1.13930847e+01    9.84710983e+00   -1.89772285e-01
18       1.07715199e-11    1.61018389e-01    1.12804228e+01    9.64704612e+00   -1.83779301e-01
19       1.16682172e-11    1.56378777e-01    1.10165850e+01    9.21408116e+00   -1.73481626e-01
20       1.25649144e-11    1.50463811e-01    1.07446876e+01    8.78082393e+00   -1.65586167e-01
21       1.34616117e-11    1.43787198e-01    1.05066421e+01    8.38881866e+00   -1.59977182e-01
22       1.43583090e-11    1.36737132e-01    1.03247484e+01    8.05943390e+00   -1.56251065e-01
23       1.52550063e-11    1.29594592e-01    1.02053619e+01    7.79785555e+00   -1.53875751e-01
24       1.61517036e-11    1.22559368e-01    1.01434941e+01    7.59793412e+00   -1.52313067e-01
25       1.70484008e-11    1.15781373e-01    1.01275221e+01    7.44705409e+00   -1.51099326e-01
26       1.79450981e-11    1.09385269e-01    1.01431318e+01    7.33015693e+00   -1.49887132e-01
27       1.88417954e-11    1.03490904e-01    1.01763579e+01    7.23279743e+00   -1.48455884e-01
28       2.06351900e-11    9.36931207e-02    1.02499670e+01    7.05025505e+00   -1.44635000e-01
29       2.24285845e-11    8.75114278e-02    1.02996518e+01    6.85064198e+00   -1.39707820e-01
30       2.42219791e-11    8.59102362e-02    1.03108891e+01    6.62029228e+00   -1.34233436e-01
31       2.60153737e-11    8.95192509e-02    1.02947001e+01    6.37111606e+00   -1.28802411e-01
32       2.78087682e-11    9.84175524e-02    1.02688350e+01    6.12121421e+00   -1.23747427e-01
33       3.11421016e-11    1.26641716e-01    1.02319264e+01    5.69057913e+00   -1.15395758e-01
34       3.44754349e-11    1.62286146e-01    1.02155570e+01    5.30760363e+00   -1.07930572e-01
35       3.78087682e-11    1.93838147e-01    1.02063466e+01    4.95626426e+00   -1.00892536e-01
36       4.11421016e-11    2.11369031e-01    1.01934670e+01    4.62404121e+00   -9.42254699e-02
37       4.44754349e-11    2.10390355e-01    1.01785048e+01    4.31123642e+00   -8.80261349e-02
38       4.78087682e-11    1.93490790e-01    1.01656751e+01    4.02067624e+00   -8.22931833e-02
39       5.11421016e-11    1.69308331e-01    1.01555407e+01    3.75147029e+00   -7.69444242e-02
40       5.44754349e-11    1.49243550e-01    1.01465260e+01    3.50071610e+00   -7.19139922e-02
41       5.78087682e-11    1.43125831e-01    1.01375749e+01    3.26620103e+00   -6.71802010e-02
42       6.11421016e-11    1.55456378e-01    1.01285575e+01    3.04675192e+00   -6.27421954e-02
43       6.44754349e-11    1.83682055e-01    1.01195991e+01    2.84151783e+00   -5.86006069e-02
44       6.78087682e-11    2.19166999e-01    1.01108038e+01    2.64968249e+00   -5.47534627e-02
45       7.11421016e-11    2.50497010e-01    1.01023737e+01    2.47057710e+00   -5.11942393e-02
46       7.44754349e-11    2.67841169e-01    1.00946409e+01    2.30370170e+00   -4.79071938e-02
47       7.78087682e-11    2.66706606e-01    1.00879044e+01    2.14855657e+00   -4.48649989e-02
48       8.11421016e-11    2.49649020e-01    1.00822521e+01    2.00447008e+00   -4.20324686e-02
49       8.44754349e-11    2.25297045e-01    1.00775104e+01    1.87056063e+00   -3.93746309e-02
50       8.78087682e-11    2.05058175e-01    1.00733106e+01    1.74581497e+00   -3.68649967e-02
51       9.11421016e-11    1.98765022e-01    1.00692302e+01    1.62923299e+00   -3.44905766e-02
52       9.44754349e-11    2.10916336e-01    1.00649381e+01    1.51996757e+00   -3.22520083e-02
53       9.78087682e-11    2.38956840e-01    1.00603127e+01    1.41742890e+00   -3.01588876e-02
54       1.01142102e-10    2.74251918e-01    1.00554737e+01    1.32129899e+00   -2.82220565e-02
55       1.04475435e-10    3.05390268e-01    1.00507353e+01    1.23146840e+00   -2.64456788e-02
56       1.07808768e-10    3.22543915e-01    1.00464745e+01    1.14789542e+00   -2.48220847e-02
