Index       TIME              V(IN)            V(BASE)           V(COLL)           V(OUT)            I(VDD)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        3.33333333e-12    2.93892626e-02    7.39514056e-02    3.13561324e+00    2.93963742e+00   -7.36068919e-02
2        3.54166667e-12    3.09546975e-02    7.77256469e-02    3.25223951e+00    3.04358209e+00   -7.24387421e-02
3        3.71443221e-12    3.22167724e-02    8.05410466e-02    3.32207139e+00    3.10269320e+00   -7.17390156e-02
4        3.86332047e-12    3.32770619e-02    8.27875717e-02    3.36778523e+00    3.13905965e+00   -7.12807539e-02
5        4.01220873e-12    3.43111431e-02    8.49431595e-02    3.40740000e+00    3.16928204e+00   -7.08835285e-02
6        4.30998526e-12    3.62974440e-02    8.88854878e-02    3.45976746e+00    3.20267532e+00   -7.03578826e-02
7        4.60776178e-12    3.81694188e-02    9.24796801e-02    3.49075200e+00    3.21455086e+00   -7.00462402e-02
8        4.90553830e-12    3.99211715e-02    9.58394505e-02    3.51187005e+00    3.21651869e+00   -6.98333798e-02
9        5.50109134e-12    4.30423363e-02    1.02036782e-01    3.54333483e+00    3.20971187e+00   -6.95156333e-02
10       6.09664439e-12    4.56216463e-02    1.07611330e-01    3.56951870e+00    3.19773598e+00   -6.92510073e-02
11       7.28775047e-12    4.90320500e-02    1.16965618e-01    3.61989698e+00    3.17224108e+00   -6.87425474e-02
12       8.47885656e-12    4.99811904e-02    1.23861455e-01    3.66956924e+00    3.14664866e+00   -6.82423768e-02
13       1.08610687e-11    4.44310448e-02    1.30348536e-01    3.76775748e+00    3.09612089e+00   -6.72572509e-02
14       1.41944021e-11    2.24663068e-02    1.25626527e-01    3.90280529e+00    3.02706258e+00   -6.59091338e-02
15       1.75277354e-11   -8.07979689e-03    1.12684844e-01    4.03580751e+00    2.96048004e+00   -6.45855825e-02
16       2.08610687e-11   -3.55396927e-02    1.02882064e-01    4.16693648e+00    2.89638033e+00   -6.32791942e-02
17       2.41944021e-11   -4.94246339e-02    1.06335756e-01    4.29607930e+00    2.83449401e+00   -6.19860391e-02
18       2.75277354e-11   -4.44310448e-02    1.28058705e-01    4.42272162e+00    2.77418051e+00   -6.07087545e-02
19       3.08610687e-11   -2.24663068e-02    1.66043235e-01    4.54628307e+00    2.71477672e+00   -5.94541477e-02
20       3.41944021e-11    8.07979689e-03    2.12026670e-01    4.66628887e+00    2.65576448e+00   -5.82310979e-02
21       3.75277354e-11    3.55396927e-02    2.54650229e-01    4.78261490e+00    2.59699841e+00   -5.70465259e-02
22       4.08610687e-11    4.94246339e-02    2.83800921e-01    4.89553249e+00    2.53872522e+00   -5.59027746e-02
23       4.41944021e-11    4.44310448e-02    2.94475541e-01    5.00564110e+00    2.48149322e+00   -5.47963512e-02
24       4.75277354e-11    2.24663068e-02    2.88689273e-01    5.11365103e+00    2.42592261e+00   -5.37191451e-02
25       5.08610687e-11   -8.07979689e-03    2.74703961e-01    5.22013514e+00    2.37246062e+00   -5.26612966e-02
26       5.41944021e-11   -3.55396927e-02    2.63873761e-01    5.32533081e+00    2.32120091e+00   -5.16147550e-02
27       5.75277354e-11   -4.94246339e-02    2.66311302e-01    5.42907182e+00    2.27184053e+00   -5.05761262e-02
28       6.08610687e-11   -4.44310448e-02    2.87025331e-01    5.53087575e+00    2.22379011e+00   -4.95477298e-02
29       6.41944021e-11   -2.24663068e-02    3.24005189e-01    5.63014463e+00    2.17638644e+00   -4.85365511e-02
30       6.75277354e-11    8.07979689e-03    3.68987645e-01    5.72641294e+00    2.12913729e+00   -4.75513767e-02
31       7.08610687e-11    3.55396927e-02    4.10615808e-01    5.81953946e+00    2.08189603e+00   -4.65992975e-02
32       7.41944021e-11    4.94246339e-02    4.38781300e-01    5.90978302e+00    2.03491264e+00   -4.56827791e-02
33       7.75277354e-11    4.44310448e-02    4.48486622e-01    5.99771741e+00    1.98872574e+00   -4.47985826e-02
34       8.08610687e-11    2.24663068e-02    4.41750840e-01    6.08403162e+00    1.94395074e+00   -4.39388083e-02
35       8.41944021e-11   -8.07979689e-03    4.26835099e-01    6.16927851e+00    1.90103155e+00   -4.30937974e-02
36       8.75277354e-11   -3.55396927e-02    4.15088500e-01    6.25368490e+00    1.86006796e+00   -4.22556068e-02
37       9.08610687e-11   -4.94246339e-02    4.16616959e-01    6.33707921e+00    1.82076775e+00   -4.14208994e-02
38       9.41944021e-11   -4.44310448e-02    4.36423642e-01    6.41897855e+00    1.78255628e+00   -4.05920027e-02
39       9.75277354e-11   -2.24663068e-02    4.72494772e-01    6.49878392e+00    1.74478366e+00   -3.97759134e-02
40       1.00861069e-10    8.07979689e-03    5.16566994e-01    6.57602646e+00    1.70696781e+00   -3.89814519e-02
41       1.04194402e-10    3.55396927e-02    5.57286818e-01    6.65055376e+00    1.66896405e+00   -3.82158190e-02
