Index       TIME              V(IN)            V(BASE)           V(COLL)           V(OUT)           V(OUT_50)          I(V_DD)     
0        0.00000000e+00    0.00000000e+00    8.45087147e-01    1.18491081e+00    1.77023224e+00   -2.34217835e-38   -3.64883881e-03
1        3.33333333e-12    1.46946313e-02    8.57165959e-01    1.17054500e+00    1.76104339e+00   -8.61454886e-03   -3.69478307e-03
2        6.66666667e-12    2.37764129e-02    8.63673180e-01    1.14879681e+00    1.74633729e+00   -2.18631070e-02   -3.76831357e-03
3        9.66666667e-12    2.42145790e-02    8.63144329e-01    1.13683220e+00    1.73695542e+00   -2.94763894e-02   -3.81522289e-03
4        1.23666667e-11    1.81163283e-02    8.57701848e-01    1.13792119e+00    1.73558015e+00   -2.92710228e-02   -3.82209924e-03
5        1.46278701e-11    9.37285220e-03    8.50538958e-01    1.14780398e+00    1.74010619e+00   -2.36743307e-02   -3.79946903e-03
6        1.66629532e-11    1.74994514e-05    8.43207468e-01    1.16270931e+00    1.74815460e+00   -1.50147958e-02   -3.75922699e-03
7        1.86980362e-11   -9.34039695e-03    8.36058648e-01    1.18004403e+00    1.75779962e+00   -4.96320748e-03   -3.71100189e-03
8        2.20313696e-11   -2.11870376e-02    8.27797563e-01    1.21263063e+00    1.77676789e+00    1.37133869e-02   -3.61616055e-03
9        2.53647029e-11   -2.49409500e-02    8.26269401e-01    1.23799648e+00    1.79242464e+00    2.79803508e-02   -3.53787678e-03
10       2.86980362e-11   -1.91682672e-02    8.31984178e-01    1.24534912e+00    1.79877768e+00    3.23232658e-02   -3.50611160e-03
11       3.20313696e-11   -6.07395788e-03    8.42706249e-01    1.23084212e+00    1.79344167e+00    2.50740180e-02   -3.53279163e-03
12       3.53647029e-11    9.34039695e-03    8.54257922e-01    1.19843636e+00    1.77737949e+00    7.91229084e-03   -3.61310254e-03
13       3.86980362e-11    2.11870376e-02    8.62225644e-01    1.16065009e+00    1.75605710e+00   -1.32327489e-02   -3.71971449e-03
14       4.20313696e-11    2.49409500e-02    8.63637135e-01    1.13331839e+00    1.73833433e+00   -2.95300933e-02   -3.80832835e-03
15       4.53647029e-11    1.91682672e-02    8.57985646e-01    1.12736217e+00    1.73194984e+00   -3.38034604e-02   -3.84025078e-03
16       4.86980362e-11    6.07395788e-03    8.47387743e-01    1.14421150e+00    1.73930948e+00   -2.45003599e-02   -3.80345258e-03
17       5.20313696e-11   -9.34039695e-03    8.35830273e-01    1.17629970e+00    1.75667640e+00   -6.11300054e-03   -3.71661801e-03
18       5.53647029e-11   -2.11870376e-02    8.27718732e-01    1.21127207e+00    1.77681878e+00    1.37740088e-02   -3.61590612e-03
19       5.86980362e-11   -2.49409500e-02    8.26210112e-01    1.23692059e+00    1.79255053e+00    2.81096394e-02   -3.53724736e-03
20       6.20313696e-11   -1.91682672e-02    8.31931752e-01    1.24439531e+00    1.79892312e+00    3.24631373e-02   -3.50538441e-03
21       6.53647029e-11   -6.07395788e-03    8.42658933e-01    1.22996762e+00    1.79358489e+00    2.52027101e-02   -3.53207557e-03
22       6.86980362e-11    9.34039695e-03    8.54214771e-01    1.19763235e+00    1.77752582e+00    8.03569736e-03   -3.61237090e-03
23       7.20313696e-11    2.11870376e-02    8.62186125e-01    1.15990855e+00    1.75620562e+00   -1.31151821e-02   -3.71897188e-03
24       7.53647029e-11    2.49409500e-02    8.63600841e-01    1.13262624e+00    1.73847548e+00   -2.94272483e-02   -3.80762262e-03
