Index       TIME             V(BASE)           V(COLL)           V(OUT)          I(V_SUPPLY)   
0        0.00000000e+00    2.32427640e-56    1.00000000e+01    1.33883584e-87   -4.01376931e-11
1        3.33333333e-12    3.08781713e-02    1.00049258e+01    4.61790416e-03    1.64192108e-04
2        6.66666667e-12    7.49912878e-02    1.00076146e+01    6.85004575e-03    4.18011299e-04
3        1.00000000e-11    1.13017234e-01    1.00060371e+01    4.88150434e-03    6.45538995e-04
4        1.33333333e-11    1.20428673e-01    9.99449503e+00   -6.60316129e-03    6.54407625e-04
5        1.66666667e-11    7.48072131e-02    9.97700174e+00   -2.31061444e-02    1.79353797e-04
6        2.00000000e-11   -1.52013643e-02    9.96645179e+00   -3.18250565e-02   -7.63087455e-04
7        2.33333333e-11   -1.13180141e-01    9.97410917e+00   -2.23614532e-02   -1.75373814e-03
8        2.66666667e-11   -1.73035531e-01    1.00006339e+01    4.75034452e-03   -2.17468637e-03
9        3.00000000e-11   -1.63417684e-01    1.00340274e+01    3.67601120e-02   -1.59699776e-03
10       3.33333333e-11   -8.45516225e-02    1.00556540e+01    5.53174814e-02   -1.02307960e-04
11       3.66666667e-11    3.18689321e-02    1.00514426e+01    4.76730940e-02    1.68263608e-03
12       4.00000000e-11    1.38317114e-01    1.00212532e+01    1.53817918e-02    2.89423277e-03
13       4.33333333e-11    1.92084143e-01    9.97913874e+00   -2.63664799e-02    2.90076445e-03
14       4.66666667e-11    1.71506526e-01    9.94482863e+00   -5.78687425e-02    1.63355395e-03
15       5.00000000e-11    8.32904417e-02    9.93339326e+00   -6.52017609e-02   -3.96081089e-04
16       5.33333333e-11   -3.96462688e-02    9.94945605e+00   -4.54505656e-02   -2.34859253e-03
17       5.66666667e-11   -1.49359821e-01    9.98676649e+00   -6.41139746e-03   -3.41155029e-03
18       6.00000000e-11   -2.01476630e-01    1.00307346e+01    3.65519856e-02   -3.11986630e-03
19       6.33333333e-11   -1.74430725e-01    1.00631956e+01    6.56076626e-02   -1.55436451e-03
20       6.66666667e-11   -7.90102335e-02    1.00698197e+01    6.77853672e-02    6.62556234e-04
21       7.00000000e-11    4.68403694e-02    1.00473195e+01    4.16377208e-02    2.61487580e-03
22       7.33333333e-11    1.54220457e-01    1.00054221e+01   -1.59444273e-03    3.49390206e-03
23       7.66666667e-11    2.02389688e-01    9.96187701e+00   -4.36319842e-02    2.94888705e-03
24       8.00000000e-11    1.73390452e-01    9.93395341e+00   -6.78398533e-02    1.21272727e-03
25       8.33333333e-11    7.79004864e-02    9.93158426e+00   -6.57558164e-02   -1.02831166e-03
26       8.66666667e-11   -4.83814081e-02    9.95489910e+00   -3.89507521e-02   -2.92025570e-03
27       9.00000000e-11   -1.56921229e-01    9.99521869e+00    2.58115525e-03   -3.75162586e-03
28       9.33333333e-11   -2.04906845e-01    1.00376568e+01    4.34837659e-02   -3.20370110e-03
