
Note: No compatibility mode selected!


Circuit: * rx chain isolated testbench

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd_1p2                                    1.2
vdd_2p5                                    2.5
vss                                          0
rx_in                                        0
x_lna.match_node                             0
x_lna.base_in                         0.928668
x_lna.coll                            0.217902
x_lna.emit                                   0
x_lna.x1.s1                        1.97596e-05
x_lna.x1.t                             4.39126
x_lna.out_int                              1.2
x_lna.cb_bias                          1.11766
x_lna.x2.s1                        8.15886e-10
x_lna.x2.t                             19.4142
lna_out                                      0
mix_bias                                   0.6
x_balun.pri_int                              0
mix_rf_p                                   0.6
mix_rf_n                                   0.6
lo_diff                                      0
vco_out_p                                 1.65
e_lo_p_int1                               1.65
vco_out_n                                 1.65
e_lo_n_int1                               1.65
x_mix.c1                              0.846604
x_mix.b_e1                            0.883848
x_mix.e_tail                         0.0487265
x_mix.x1.s1                        5.85358e-10
x_mix.x1.t                             3.94274
x_mix.c2                              0.846604
x_mix.b_e2                            0.883848
x_mix.x2.s1                        5.85358e-10
x_mix.x2.t                             3.94274
x_mix.c3                               1.90164
x_mix.b_lo_p                           1.65778
x_mix.x3.s1                        1.32833e-09
x_mix.x3.t                             2.60212
x_mix.c4                               1.90164
x_mix.x4.s1                        1.32833e-09
x_mix.x4.t                             2.60212
x_mix.b_lo_n                           1.65778
x_mix.x5.s1                        1.32833e-09
x_mix.x5.t                             2.60212
x_mix.x6.s1                        1.32833e-09
x_mix.x6.t                             2.60212
if_p                                   1.90164
if_n                                   1.90164
x_if_amp.b1                           0.986508
x_if_amp.c1                            1.70166
x_if_amp.e1                           0.153695
x_if_amp.x1.s1                     5.94331e-10
x_if_amp.x1.t                          7.83329
x_if_amp.b2                           0.986508
x_if_amp.c2                            1.70166
x_if_amp.e2                           0.153695
x_if_amp.x2.s1                     5.94331e-10
x_if_amp.x2.t                          7.83329
if_amp_out                                   0
be_lo_n#branch                               0
be_lo_p#branch                               0
l.x_balun.l_sec2#branch                      0
l.x_balun.l_sec1#branch            1.35525e-20
l.x_balun.l_pri#branch                       0
l.x_lna.l_load#branch               0.00399311
l.x_lna.l_deg#branch                 0.0040194
l.x_lna.l_series#branch                      0
e_lo_n#branch                                0
e_lo_p#branch                                0
v.x_mix.v_if_n#branch              0.000997266
v.x_mix.v_if_p#branch              0.000997266
v_lo_diff#branch                             0
v_rf#branch                                  0
vss#branch                           0.0107178
vdd_2p5#branch                     -0.00663839
vdd_1p2#branch                     -0.00407943

