
Note: No compatibility mode selected!


Circuit: * complete 30 ghz radar frontend verification - tapeout ready

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd_1p2                                   1.32
vdd_2p5                                   2.75
vss                                          0
clk                                          0
vref_p                                       1
vref_n                                       0
x_vco.c1                                  1.32
x_vco.c2                                  1.32
x_vco.emit                            0.440427
x_vco.x1.s1                        4.58598e-10
x_vco.x1.t                             4.34616
x_vco.x2.s1                        4.58598e-10
x_vco.x2.t                             4.34616
vco_out_p                              1.83204
vco_out_n                              1.83204
x_buf.emit                            0.957338
x_buf.x1.s1                        9.59216e-10
x_buf.x1.t                             8.48374
buf_out                               0.957338
x_buf_dummy.emit                      0.957338
x_buf_dummy.x1.s1                  9.59216e-10
x_buf_dummy.x1.t                       8.48374
buf_out_dummy                         0.957338
x_predrv.base_in                      0.972015
x_predrv.coll                             2.75
x_predrv.emit                        0.0390065
x_predrv.x1.s1                     6.78139e-05
x_predrv.x1.t                          261.296
predrv_out                               1.018
x_pa.in_int                              1.018
x_pa.coll                                 2.75
x_pa.emit_pa                         0.0805701
x_pa.x1.s1                         8.60756e-05
x_pa.x1.t                              265.316
pa_out                                       0
pa_leakage                                   0
target_node                                  0
rx_sum_node                                  0
e_rx_sum_int1                                0
rx_in                                        0
x_lna.match_node                             0
x_lna.base_in                          1.01062
x_lna.coll                            0.308337
x_lna.emit                         1.38778e-17
x_lna.x1.s1                        7.66339e-07
x_lna.x1.t                             11.3231
x_lna.out_int                             1.32
x_lna.cb_bias                          1.27094
x_lna.x2.s1                        8.71167e-10
x_lna.x2.t                             36.8124
lna_out                                      0
mix_bias                                  0.66
x_balun.pri_int                              0
mix_rf_p                                  0.66
mix_rf_n                                  0.66
x_mix.c1                              0.970362
x_mix.b_e1                            0.980348
x_mix.e_tail                          0.100734
x_mix.x1.s1                         6.7245e-10
x_mix.x1.t                             4.29703
x_mix.c2                              0.970362
x_mix.b_e2                            0.980348
x_mix.x2.s1                         6.7245e-10
x_mix.x2.t                             4.29703
x_mix.c3                               2.15032
x_mix.b_lo_p                           1.83164
x_mix.x3.s1                        1.50183e-09
x_mix.x3.t                              2.9142
x_mix.c4                               2.15032
x_mix.x4.s1                        1.50183e-09
x_mix.x4.t                              2.9142
x_mix.b_lo_n                           1.83164
x_mix.x5.s1                        1.50183e-09
x_mix.x5.t                              2.9142
x_mix.x6.s1                        1.50183e-09
x_mix.x6.t                              2.9142
if_p                                   2.15032
if_n                                   2.15032
x_if_amp.b1                            1.09637
x_if_amp.c1                            1.65718
x_if_amp.e1                           0.210203
x_if_amp.x1.s1                     5.75199e-10
x_if_amp.x1.t                          10.0186
x_if_amp.b2                            1.09637
x_if_amp.c2                            1.65718
x_if_amp.e2                           0.210203
x_if_amp.x2.s1                     5.75199e-10
x_if_amp.x2.t                          10.0186
if_amp_out                            0.014909
x_adc.hold_node                       0.163999
x_adc.dac_out                         0.164651
x_adc.x_dac.n0                             0.5
adc_0                                        0
x_adc.x_dac.n1                             0.5
adc_1                                        0
x_adc.x_dac.n2                             0.5
adc_2                                        0
x_adc.x_dac.n3                             0.5
adc_3                                        0
x_adc.x_dac.n4                             0.5
adc_4                                        0
x_adc.x_dac.n5                             0.5
adc_5                                        0
x_adc.x_dac.n6                             0.5
adc_6                                        0
x_adc.x_dac.n7                             0.5
adc_7                                        0
x_adc.x_comp.c1                        0.82745
x_adc.x_comp.emit                     -0.68114
x_adc.x_comp.x1.s1                 2.88773e-10
x_adc.x_comp.x1.t                      1.83576
x_adc.x_comp.c2                       0.812529
x_adc.x_comp.x2.s1                 2.83526e-10
x_adc.x_comp.x2.t                      1.87269
x_adc.comp_out_p                     0.0357702
x_adc.x_comp.x3.s1                 9.23879e-10
x_adc.x_comp.x3.t                     0.113484
x_adc.comp_out_n                     0.0267188
x_adc.x_comp.x4.s1                  9.2391e-10
x_adc.x_comp.x4.t                    0.0853654
x_adc.out_analog                     0.0117647
x_adc.e_quantize_int1                0.0117647
x_adc.e_bit7_int1                            0
x_adc.e_bit6_int1                            0
x_adc.e_bit5_int1                            0
x_adc.e_bit4_int1                            0
b.x_adc.be_bit4#branch                       0
b.x_adc.be_bit5#branch                       0
b.x_adc.be_bit6#branch                       0
b.x_adc.be_bit7#branch                       0
b.x_adc.be_quantize#branch                   0
be_rx_sum#branch                             0
l.x_balun.l_sec2#branch                      0
l.x_balun.l_sec1#branch                      0
l.x_balun.l_pri#branch                       0
l.x_lna.l_load#branch               0.00735952
l.x_lna.l_deg#branch                0.00738505
l.x_lna.l_series#branch                      0
l.x_pa.l_load#branch                  0.160795
l.x_pa.l_match#branch                        0
l.x_predrv.l_load#branch               0.07803
l.x_vco.l2#branch                        0.002
l.x_vco.l1#branch                        0.002
e.x_adc.e_bit4#branch                        0
e.x_adc.e_bit5#branch                        0
e.x_adc.e_bit6#branch                        0
e.x_adc.e_bit7#branch                        0
e.x_adc.e_quantize#branch                    0
e_rx_sum#branch                              0
e_channel#branch                             0
v.x_adc.v_bit0#branch                        0
v.x_adc.v_bit1#branch                        0
v.x_adc.v_bit2#branch                        0
v.x_adc.v_bit3#branch                        0
v.x_mix.v_if_n#branch              0.000999466
v.x_mix.v_if_p#branch              0.000999466
v_target#branch                              0
v_ref_n#branch                           4e-07
v_ref_p#branch                          -4e-07
v_clk#branch                                 0
vss#branch                            0.264052
vdd_2p5#branch                       -0.251569
vdd_1p2#branch                      -0.0124823

 Reference value :  5.09428e-11
No. of Data Rows : 69
vco_vpp             =  0.00000e+00 from=  1.00000e-08 to=  2.50000e-08
buf_vpp             =  0.00000e+00 from=  1.00000e-08 to=  2.50000e-08
predrv_vpp          =  0.00000e+00 from=  1.00000e-08 to=  2.50000e-08
pa_vpp              =  0.00000e+00 from=  1.00000e-08 to=  2.50000e-08
lna_vpp             =  0.00000e+00 from=  1.00000e-08 to=  2.50000e-08
if_mix_vpp          =  0.00000e+00 from=  1.00000e-08 to=  2.50000e-08
if_amp_ripple_vpp   =  0.00000e+00 from=  1.00000e-08 to=  2.50000e-08
         * complete 30 ghz radar frontend verification - tapeout ready
         Transient Analysis  Wed Aug 26 11:19:41  2026
--------------------------------------------------------------------------------
Index   time            p_total         
--------------------------------------------------------------------------------
0	0.000000e+00	6.439018e-01	
1	1.000000e-14	6.439041e-01	
2	2.000000e-14	6.439063e-01	
3	4.000000e-14	6.439108e-01	
4	8.000000e-14	6.439197e-01	
5	1.600000e-13	6.439373e-01	
6	3.200000e-13	6.439726e-01	
7	6.400000e-13	6.440452e-01	
8	1.280000e-12	6.442031e-01	
9	2.280000e-12	6.444900e-01	
10	3.280000e-12	6.448342e-01	
11	4.280000e-12	6.452512e-01	
12	5.280000e-12	6.457638e-01	
13	6.280000e-12	6.463986e-01	
14	7.280000e-12	6.471795e-01	
15	8.280000e-12	6.481165e-01	
16	9.140000e-12	6.490375e-01	
17	1.000000e-11	6.500371e-01	
18	1.010000e-11	6.501361e-01	
19	1.030000e-11	6.503353e-01	
20	1.070000e-11	6.507322e-01	
21	1.150000e-11	6.514854e-01	
22	1.250000e-11	6.522665e-01	
23	1.350000e-11	6.527510e-01	
24	1.450000e-11	6.527985e-01	
25	1.550000e-11	6.522607e-01	
26	1.650000e-11	6.510010e-01	
27	1.750000e-11	6.489166e-01	
28	1.850000e-11	6.459585e-01	
29	1.950000e-11	6.421441e-01	
30	2.050000e-11	6.375566e-01	
31	2.150000e-11	6.323379e-01	
32	2.250000e-11	6.267025e-01	
33	2.350000e-11	6.209873e-01	
34	2.450000e-11	6.156247e-01	
35	2.550000e-11	6.110300e-01	
36	2.650000e-11	6.075745e-01	
37	2.750000e-11	6.056373e-01	
38	2.850000e-11	6.056142e-01	
39	2.950000e-11	6.078804e-01	
40	3.050000e-11	6.127460e-01	
41	3.150000e-11	6.204274e-01	
42	3.250000e-11	6.310402e-01	
43	3.350000e-11	6.445624e-01	
44	3.450000e-11	6.607196e-01	
45	3.550000e-11	6.790335e-01	
46	3.650000e-11	6.989490e-01	
47	3.750000e-11	7.199631e-01	
48	3.850000e-11	7.417907e-01	
49	3.950000e-11	7.642018e-01	
50	4.050000e-11	7.868355e-01	
51	4.150000e-11	8.091495e-01	
52	4.250000e-11	8.305063e-01	
53	4.350000e-11	8.501929e-01	
54	4.450000e-11	8.672827e-01	

Index   time            p_total         
--------------------------------------------------------------------------------
55	4.550000e-11	8.805045e-01	
56	4.650000e-11	8.884658e-01	
57	4.750000e-11	8.898977e-01	
58	4.850000e-11	8.842218e-01	
59	4.950000e-11	8.719418e-01	
60	5.050000e-11	8.505953e-01	
61	5.091667e-11	8.425479e-01	
62	5.092713e-11	8.423345e-01	
63	5.093585e-11	8.421570e-01	
64	5.093888e-11	8.420953e-01	
65	5.094141e-11	8.420438e-01	
